id,name,no_of_seats,registration_numb,is_available,is_for_long_journey,VechicleCategory_id,rate_per_km,description
1,"Kia Rio",5,FRP490,1,1,1,5,"This is the sample description for this vehicle"
2,"Hyundai Accent",5,XTX333,1,1,1,4,"This is the sample description for this vehicle"
3,"Honda Civic",4,AQR919,1,1,1,3.5,"This is the sample description for this vehicle"
4,"Nissan Centra",4,AAA007,1,1,1,4.5,"This is the sample description for this vehicle"
5,"Ford Mustang",2,QRX001,1,1,1,7.5,"This is the sample description for this vehicle"
6,"Porche 718",2,TRA999,1,1,1,9,"This is the sample description for this vehicle"
7,"Mazda 3",4,ABR493,1,1,1,5.5,"This is the sample description for this vehicle"
8,"Kia Stinger",5,BRJ559,1,1,1,7,"This is the sample description for this vehicle"
9,"Chevy Camaro",2,AXY431,1,1,1,8,"This is the sample description for this vehicle"
10,"BMW Z4",2,QRX977,1,1,1,7.5,"This is the sample description for this vehicle"
11,"Kia Carnival",6,AQT494,1,1,1,8,"This is the sample description for this vehicle"
12,"Honda CR-V",4,CTX941,1,1,1,5,"This is the sample description for this vehicle"
13,"Ford Escape",5,QQA492,1,1,1,6,"This is the sample description for this vehicle"
14,"Kia EV6",2,ABP913,1,1,1,7,"This is the sample description for this vehicle"
15,"Ford Maverick",2,PXT114,1,1,1,5,"This is the sample description for this vehicle"
16,"GMC Canyon",3,XYA916,1,1,1,6,"This is the sample description for this vehicle"
